1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,AVERAGE
62.62,72.72,90.9,55.55,92.92,62.62,53.53,89.89,78.78,81.81,78.78,54.54,97.97,56.56,85.85,74.336
76.76,86.86,80.8,83.83,74.74,59.59,50.5,82.82,93.93,51.51,66.66,63.63,67.67,62.62,88.88,72.72
86.86,80.8,86.86,62.62,70.7,97.97,60.6,64.64,74.74,82.82,51.51,77.77,52.52,94.94,63.63,73.932
83.83,80.8,51.51,78.78,79.79,61.61,77.77,79.79,80.8,65.65,84.84,84.84,72.72,54.54,79.79,74.47066667
70.7,66.66,61.61,86.86,83.83,76.76,64.64,72.72,82.82,58.58,78.78,66.66,71.71,68.68,90.9,73.46066667
53.53,61.61,60.6,79.79,72.72,79.79,87.87,88.88,68.68,58.58,86.86,89.89,79.79,57.57,97.97,74.942
57.57,83.83,66.66,62.62,53.53,77.77,96.96,53.53,60.6,55.55,67.67,73.73,86.86,73.73,85.85,70.43066667
79.79,72.72,75.75,84.84,89.89,75.75,56.56,51.51,65.65,73.73,90.9,93.93,62.62,77.77,76.76,75.21133333
99.99,58.58,61.61,63.63,97.97,65.65,52.52,51.51,63.63,79.79,58.58,85.85,82.82,71.71,94.94,72.58533333
73.73,78.78,65.65,81.81,76.76,82.82,59.59,71.71,75.75,54.54,87.87,87.87,69.69,68.68,82.82,74.538
86.86,66.66,66.66,64.64,70.7,66.66,85.85,65.65,62.62,88.88,83.83,87.87,76.76,64.64,54.54,72.85466667
90.9,99.99,80.8,70.7,84.84,61.61,89.89,56.56,96.96,68.68,78.78,51.51,88.88,99.99,51.51,78.10666667
90.9,93.93,65.65,85.85,57.57,51.51,62.62,80.8,67.67,62.62,76.76,63.63,69.69,55.55,57.57,69.488
60.6,91.91,73.73,59.59,51.51,81.81,87.87,74.74,75.75,90.9,81.81,71.71,53.53,83.83,54.54,72.922
93.93,69.69,56.56,99.99,88.88,60.6,55.55,87.87,61.61,91.91,84.84,86.86,52.52,76.76,59.59,75.144
69.69,59.59,94.94,77.77,95.95,63.63,87.87,79.79,99.99,59.59,87.87,78.78,98.98,72.72,76.76,80.26133333
76.76,90.9,76.76,79.79,95.95,57.57,85.85,63.63,93.93,98.98,90.9,68.68,70.7,95.95,97.97,82.95466667
51.51,70.7,94.94,73.73,64.64,56.56,82.82,99.99,76.76,75.75,87.87,62.62,65.65,77.77,73.73,74.336
91.91,95.95,68.68,53.53,82.82,78.78,51.51,64.64,95.95,67.67,97.97,91.91,95.95,56.56,52.52,76.42333333
95.95,84.84,72.72,65.65,69.69,58.58,99.99,51.51,64.64,97.97,53.53,99.99,78.78,54.54,56.56,73.66266667
71.71,60.6,76.76,53.53,68.68,95.95,83.83,68.68,95.95,59.59,70.7,99.99,89.89,72.72,66.66,75.68266667
64.64,51.51,57.57,66.66,92.92,86.86,96.96,87.87,87.87,69.69,83.83,59.59,87.87,79.79,92.92,77.77
57.57,68.68,98.98,86.86,61.61,88.88,89.89,81.81,75.75,75.75,55.55,83.83,94.94,98.98,87.87,80.46333333
67.67,62.62,88.88,52.52,78.78,55.55,68.68,86.86,99.99,55.55,60.6,58.58,92.92,92.92,99.99,74.80733333
63.63,68.68,84.84,95.95,58.58,63.63,76.76,58.58,74.74,68.68,88.88,72.72,59.59,53.53,89.89,71.912
66.66,56.56,74.74,88.88,87.87,59.59,73.73,90.9,57.57,74.74,93.93,83.83,76.76,80.8,72.72,75.952
58.58,53.53,90.9,57.57,76.76,74.74,77.77,79.79,71.71,69.69,51.51,50.5,81.81,99.99,62.62,70.498
62.62,53.53,99.99,69.69,66.66,53.53,50.5,80.8,87.87,79.79,93.93,53.53,64.64,84.84,64.64,71.104
72.72,97.97,63.63,85.85,55.55,54.54,80.8,53.53,63.63,57.57,81.81,80.8,73.73,98.98,61.61,72.18133333
54.54,95.95,59.59,50.5,63.63,74.74,59.59,79.79,51.51,67.67,74.74,64.64,55.55,53.53,76.76,65.51533333
76.76,71.71,66.66,80.8,81.81,52.52,66.66,55.55,83.83,82.82,92.92,84.84,53.53,52.52,79.79,72.18133333
77.77,83.83,90.9,86.86,89.89,57.57,86.86,51.51,63.63,76.76,78.78,71.71,52.52,50.5,97.97,74.47066667
62.62,77.77,80.8,74.74,71.71,73.73,62.62,95.95,58.58,74.74,84.84,74.74,52.52,94.94,89.89,75.346
63.63,56.56,98.98,50.5,86.86,69.69,62.62,89.89,59.59,63.63,71.71,94.94,63.63,81.81,79.79,72.922
80.8,62.62,57.57,51.51,53.53,96.96,71.71,96.96,80.8,52.52,66.66,65.65,69.69,56.56,73.73,69.15133333
95.95,83.83,64.64,51.51,94.94,51.51,77.77,62.62,68.68,63.63,76.76,79.79,72.72,95.95,83.83,74.942
58.58,56.56,86.86,96.96,71.71,52.52,88.88,65.65,83.83,68.68,58.58,93.93,53.53,66.66,92.92,73.05666667
76.76,85.85,98.98,79.79,98.98,87.87,71.71,51.51,91.91,67.67,50.5,83.83,80.8,91.91,69.69,79.184
76.76,90.9,91.91,93.93,79.79,71.71,66.66,66.66,64.64,66.66,69.69,55.55,71.71,72.72,71.71,74.06666667
92.92,64.64,63.63,90.9,53.53,86.86,82.82,74.74,83.83,79.79,80.8,69.69,65.65,65.65,66.66,74.80733333
61.61,83.83,61.61,92.92,90.9,97.97,95.95,73.73,97.97,62.62,93.93,76.76,80.8,86.86,96.96,83.628
56.56,95.95,51.51,93.93,72.72,51.51,53.53,70.7,72.72,52.52,97.97,95.95,78.78,59.59,90.9,72.98933333
84.84,89.89,81.81,70.7,70.7,90.9,89.89,94.94,61.61,99.99,65.65,75.75,61.61,81.81,72.72,79.52066667
82.82,93.93,78.78,53.53,90.9,64.64,51.51,71.71,57.57,80.8,96.96,95.95,87.87,64.64,86.86,77.23133333
58.58,96.96,66.66,96.96,53.53,71.71,96.96,87.87,97.97,90.9,81.81,99.99,73.73,94.94,55.55,81.608
91.91,76.76,85.85,71.71,68.68,98.98,50.5,71.71,97.97,90.9,60.6,82.82,96.96,67.67,79.79,79.52066667
86.86,83.83,74.74,84.84,53.53,81.81,60.6,90.9,52.52,60.6,54.54,71.71,71.71,95.95,74.74,73.25866667
59.59,74.74,60.6,95.95,70.7,96.96,56.56,88.88,95.95,96.96,86.86,72.72,60.6,91.91,53.53,77.50066667
95.95,87.87,73.73,72.72,86.86,72.72,65.65,83.83,99.99,80.8,83.83,78.78,91.91,71.71,72.72,81.27133333
72.72,56.56,84.84,91.91,72.72,78.78,76.76,69.69,96.96,71.71,86.86,86.86,65.65,72.72,91.91,78.44333333
56.56,84.84,71.71,77.77,58.58,62.62,87.87,62.62,74.74,53.53,84.84,87.87,91.91,88.88,64.64,73.932
99.99,72.72,60.6,80.8,87.87,78.78,94.94,73.73,56.56,67.67,64.64,74.74,71.71,73.73,68.68,75.144
63.63,53.53,67.67,93.93,81.81,65.65,98.98,75.75,51.51,78.78,81.81,70.7,90.9,60.6,92.92,75.21133333
89.89,70.7,80.8,51.51,93.93,64.64,69.69,63.63,57.57,65.65,70.7,68.68,99.99,93.93,56.56,73.19133333
53.53,83.83,65.65,64.64,70.7,61.61,79.79,73.73,57.57,89.89,60.6,54.54,62.62,51.51,96.96,68.478
76.76,73.73,82.82,72.72,52.52,67.67,50.5,81.81,69.69,68.68,56.56,77.77,91.91,73.73,60.6,70.498
54.54,84.84,94.94,79.79,95.95,89.89,50.5,64.64,86.86,61.61,84.84,92.92,93.93,97.97,72.72,80.396
67.67,63.63,86.86,90.9,85.85,52.52,57.57,54.54,91.91,67.67,51.51,85.85,78.78,89.89,53.53,71.912
89.89,61.61,71.71,73.73,85.85,57.57,86.86,93.93,69.69,53.53,68.68,92.92,94.94,53.53,57.57,74.134
68.68,64.64,59.59,56.56,96.96,83.83,72.72,54.54,58.58,64.64,93.93,75.75,88.88,57.57,59.59,70.43066667
58.58,56.56,91.91,66.66,53.53,97.97,67.67,51.51,94.94,88.88,96.96,81.81,95.95,86.86,74.74,77.63533333
88.88,71.71,50.5,90.9,70.7,55.55,83.83,54.54,89.89,98.98,97.97,57.57,86.86,50.5,84.84,75.548
99.99,95.95,72.72,63.63,76.76,76.76,88.88,51.51,65.65,50.5,69.69,87.87,91.91,94.94,95.95,78.84733333
53.53,67.67,96.96,54.54,57.57,56.56,84.84,61.61,90.9,83.83,99.99,55.55,91.91,82.82,59.59,73.19133333
87.87,79.79,67.67,63.63,99.99,54.54,89.89,76.76,51.51,60.6,97.97,92.92,64.64,98.98,60.6,76.49066667
87.87,91.91,63.63,95.95,82.82,75.75,57.57,55.55,64.64,74.74,80.8,65.65,72.72,61.61,92.92,74.942
50.5,80.8,60.6,50.5,79.79,75.75,99.99,86.86,74.74,65.65,76.76,93.93,88.88,95.95,72.72,76.89466667
77.77,62.62,99.99,53.53,56.56,81.81,89.89,84.84,99.99,93.93,59.59,65.65,54.54,95.95,89.89,77.77
79.79,88.88,97.97,70.7,54.54,73.73,74.74,79.79,71.71,80.8,78.78,92.92,75.75,82.82,84.84,79.184
98.98,60.6,73.73,53.53,80.8,93.93,99.99,55.55,90.9,60.6,82.82,53.53,58.58,72.72,94.94,75.41333333
56.56,70.7,85.85,76.76,97.97,54.54,55.55,55.55,82.82,94.94,55.55,86.86,73.73,64.64,58.58,71.37333333
76.76,51.51,80.8,65.65,94.94,57.57,71.71,78.78,95.95,97.97,97.97,62.62,82.82,95.95,98.98,80.66533333
91.91,76.76,75.75,81.81,83.83,68.68,81.81,70.7,58.58,93.93,64.64,65.65,69.69,96.96,87.87,77.90466667
86.86,90.9,59.59,64.64,62.62,90.9,58.58,58.58,63.63,90.9,86.86,83.83,71.71,97.97,53.53,74.74
78.78,50.5,57.57,66.66,52.52,86.86,69.69,67.67,85.85,88.88,71.71,86.86,86.86,56.56,59.59,71.104
72.72,55.55,79.79,97.97,80.8,58.58,73.73,91.91,66.66,70.7,88.88,80.8,99.99,71.71,95.95,79.04933333
60.6,59.59,51.51,82.82,57.57,98.98,65.65,75.75,78.78,65.65,54.54,55.55,88.88,72.72,62.62,68.74733333
82.82,73.73,65.65,97.97,59.59,72.72,97.97,52.52,69.69,70.7,75.75,90.9,64.64,52.52,75.75,73.528
90.9,85.85,98.98,88.88,83.83,60.6,60.6,52.52,74.74,81.81,60.6,64.64,92.92,86.86,65.65,76.62533333
92.92,58.58,62.62,89.89,59.59,62.62,88.88,72.72,74.74,91.91,51.51,93.93,71.71,71.71,96.96,76.01933333
79.79,65.65,71.71,98.98,63.63,90.9,86.86,64.64,73.73,88.88,66.66,83.83,58.58,85.85,60.6,76.01933333
70.7,79.79,85.85,54.54,91.91,97.97,92.92,71.71,59.59,78.78,56.56,67.67,93.93,61.61,56.56,74.67266667
63.63,71.71,50.5,56.56,51.51,81.81,96.96,84.84,70.7,68.68,61.61,61.61,78.78,76.76,83.83,70.63266667
74.74,91.91,60.6,95.95,82.82,79.79,51.51,64.64,65.65,77.77,88.88,93.93,96.96,90.9,61.61,78.51066667
81.81,80.8,65.65,97.97,61.61,76.76,89.89,81.81,62.62,55.55,84.84,58.58,81.81,66.66,61.61,73.86466667
79.79,85.85,91.91,66.66,60.6,70.7,83.83,50.5,65.65,67.67,73.73,80.8,81.81,99.99,99.99,77.29866667
96.96,50.5,77.77,98.98,72.72,89.89,85.85,72.72,65.65,66.66,80.8,89.89,82.82,92.92,58.58,78.84733333
88.88,91.91,66.66,60.6,63.63,82.82,69.69,66.66,53.53,82.82,85.85,84.84,99.99,69.69,85.85,76.89466667
68.68,94.94,80.8,69.69,51.51,86.86,66.66,59.59,68.68,62.62,67.67,90.9,58.58,54.54,86.86,71.23866667
50.5,89.89,69.69,73.73,56.56,55.55,93.93,66.66,97.97,61.61,86.86,50.5,68.68,69.69,97.97,72.65266667
52.52,60.6,84.84,75.75,94.94,97.97,68.68,50.5,99.99,76.76,75.75,66.66,96.96,58.58,86.86,76.49066667
85.85,59.59,64.64,58.58,53.53,82.82,68.68,54.54,61.61,57.57,88.88,91.91,76.76,93.93,62.62,70.76733333
76.76,58.58,53.53,56.56,64.64,88.88,81.81,52.52,68.68,85.85,50.5,65.65,80.8,54.54,95.95,69.01666667
82.82,71.71,69.69,51.51,70.7,53.53,58.58,71.71,71.71,63.63,79.79,88.88,89.89,76.76,88.88,72.65266667
91.91,66.66,66.66,66.66,98.98,55.55,72.72,81.81,54.54,64.64,84.84,50.5,53.53,96.96,63.63,71.306
99.99,51.51,65.65,59.59,50.5,57.57,56.56,73.73,97.97,96.96,67.67,97.97,92.92,82.82,72.72,74.942
56.56,99.99,69.69,68.68,80.8,99.99,85.85,68.68,53.53,64.64,50.5,69.69,70.7,66.66,55.55,70.76733333
53.53,72.72,63.63,88.88,70.7,67.67,97.97,62.62,53.53,52.52,96.96,71.71,85.85,73.73,55.55,71.17133333
55.55,68.68,93.93,73.73,59.59,88.88,86.86,87.87,90.9,75.75,82.82,60.6,95.95,97.97,94.94,80.93466667
79.79,74.74,92.92,95.95,75.75,83.83,61.61,50.5,78.78,59.59,79.79,63.63,50.5,50.5,81.81,71.97933333
68.68,90.9,80.8,51.51,69.69,95.95,88.88,67.67,91.91,58.58,84.84,86.86,89.89,81.81,84.84,79.52066667
61.61,53.53,89.89,74.74,88.88,90.9,78.78,79.79,65.65,55.55,51.51,89.89,77.77,60.6,91.91,74.06666667
79.79,73.73,64.64,61.61,70.7,69.69,55.55,97.97,99.99,84.84,88.88,80.8,65.65,67.67,68.68,75.346
74.74,51.51,69.69,67.67,86.86,77.77,84.84,91.91,63.63,69.69,61.61,72.72,84.84,61.61,87.87,73.79733333
83.83,74.74,95.95,68.68,80.8,56.56,82.82,93.93,74.74,78.78,96.96,95.95,96.96,88.88,65.65,82.34866667
50.5,74.74,58.58,83.83,61.61,66.66,78.78,65.65,82.82,80.8,58.58,80.8,90.9,64.64,62.62,70.76733333
79.79,97.97,97.97,85.85,53.53,97.97,99.99,71.71,87.87,74.74,80.8,61.61,92.92,79.79,87.87,83.35866667
77.77,50.5,90.9,79.79,76.76,53.53,72.72,87.87,87.87,57.57,92.92,50.5,80.8,57.57,89.89,73.79733333
91.91,75.75,53.53,52.52,88.88,67.67,70.7,70.7,66.66,81.81,87.87,61.61,79.79,86.86,90.9,75.144
64.64,82.82,93.93,76.76,99.99,96.96,65.65,95.95,96.96,97.97,67.67,67.67,65.65,74.74,72.72,81.33866667
90.9,55.55,52.52,65.65,67.67,72.72,65.65,97.97,92.92,87.87,65.65,70.7,82.82,96.96,69.69,75.68266667
68.68,68.68,96.96,56.56,93.93,70.7,80.8,85.85,54.54,65.65,85.85,87.87,86.86,58.58,62.62,74.942
55.55,67.67,89.89,56.56,99.99,73.73,64.64,70.7,85.85,52.52,62.62,61.61,74.74,74.74,62.62,70.22866667
99.99,79.79,64.64,55.55,86.86,86.86,91.91,78.78,83.83,88.88,78.78,86.86,88.88,92.92,69.69,82.28133333
57.57,70.7,90.9,52.52,66.66,53.53,72.72,50.5,73.73,68.68,89.89,57.57,56.56,54.54,81.81,66.52533333
62.62,78.78,67.67,70.7,67.67,71.71,57.57,60.6,93.93,63.63,65.65,84.84,70.7,69.69,67.67,70.22866667
72.72,82.82,76.76,64.64,68.68,92.92,94.94,78.78,82.82,78.78,90.9,71.71,92.92,75.75,80.8,80.396
75.75,68.68,61.61,65.65,65.65,65.65,73.73,74.74,60.6,62.62,61.61,75.75,90.9,99.99,59.59,70.83466667
61.61,62.62,90.9,65.65,73.73,80.8,77.77,58.58,63.63,92.92,53.53,73.73,84.84,83.83,57.57,72.114
69.69,55.55,63.63,90.9,77.77,93.93,77.77,54.54,69.69,74.74,55.55,92.92,53.53,81.81,91.91,73.59533333
65.65,66.66,53.53,51.51,79.79,56.56,51.51,61.61,89.89,82.82,51.51,97.97,92.92,65.65,85.85,70.22866667
83.83,85.85,89.89,51.51,63.63,53.53,95.95,52.52,90.9,90.9,53.53,85.85,99.99,52.52,76.76,75.144
74.74,82.82,50.5,70.7,70.7,65.65,58.58,93.93,80.8,66.66,58.58,88.88,57.57,59.59,99.99,71.97933333
98.98,51.51,87.87,80.8,73.73,91.91,89.89,70.7,95.95,75.75,95.95,62.62,82.82,53.53,92.92,80.32866667
81.81,68.68,73.73,78.78,53.53,91.91,52.52,55.55,73.73,92.92,99.99,83.83,55.55,58.58,71.71,72.85466667
87.87,53.53,60.6,65.65,72.72,98.98,75.75,71.71,61.61,67.67,91.91,96.96,55.55,53.53,60.6,71.64266667
66.66,56.56,89.89,72.72,64.64,99.99,53.53,75.75,97.97,59.59,63.63,81.81,66.66,82.82,55.55,72.518
83.83,81.81,93.93,73.73,98.98,88.88,51.51,58.58,57.57,77.77,68.68,82.82,82.82,51.51,78.78,75.41333333
67.67,75.75,67.67,75.75,85.85,80.8,51.51,94.94,79.79,77.77,66.66,97.97,65.65,74.74,76.76,75.952
62.62,88.88,85.85,88.88,91.91,74.74,62.62,72.72,84.84,98.98,63.63,74.74,85.85,94.94,67.67,79.92466667
66.66,55.55,56.56,60.6,77.77,72.72,86.86,56.56,55.55,91.91,63.63,90.9,92.92,92.92,72.72,72.922
66.66,70.7,62.62,58.58,59.59,91.91,84.84,72.72,57.57,62.62,64.64,64.64,61.61,82.82,51.51,67.53533333
81.81,72.72,50.5,57.57,95.95,87.87,54.54,92.92,96.96,85.85,71.71,78.78,64.64,50.5,97.97,76.01933333
54.54,88.88,57.57,65.65,91.91,99.99,54.54,80.8,73.73,65.65,75.75,53.53,68.68,65.65,71.71,71.23866667
56.56,88.88,55.55,99.99,72.72,90.9,84.84,85.85,96.96,74.74,62.62,50.5,53.53,58.58,95.95,75.21133333
55.55,79.79,77.77,93.93,73.73,78.78,52.52,76.76,65.65,98.98,67.67,89.89,95.95,59.59,80.8,76.49066667
56.56,98.98,55.55,78.78,69.69,88.88,96.96,99.99,93.93,92.92,64.64,68.68,55.55,97.97,74.74,79.588
87.87,84.84,57.57,77.77,94.94,75.75,75.75,79.79,78.78,52.52,59.59,57.57,92.92,97.97,67.67,76.08666667
61.61,96.96,75.75,66.66,62.62,58.58,74.74,81.81,81.81,58.58,56.56,75.75,60.6,54.54,84.84,70.094
97.97,82.82,83.83,74.74,59.59,57.57,93.93,99.99,82.82,69.69,74.74,81.81,71.71,98.98,65.65,79.72266667
68.68,65.65,51.51,98.98,53.53,94.94,97.97,85.85,60.6,66.66,66.66,76.76,95.95,63.63,94.94,76.154
81.81,85.85,59.59,89.89,52.52,85.85,90.9,99.99,73.73,66.66,83.83,94.94,60.6,53.53,65.65,76.356
85.85,63.63,66.66,98.98,91.91,96.96,50.5,73.73,68.68,56.56,66.66,94.94,67.67,90.9,92.92,77.77
52.52,76.76,61.61,94.94,71.71,62.62,85.85,88.88,55.55,51.51,68.68,50.5,70.7,71.71,59.59,68.20866667
53.53,89.89,65.65,90.9,71.71,80.8,88.88,61.61,58.58,77.77,97.97,68.68,72.72,97.97,68.68,76.356
68.68,97.97,71.71,76.76,54.54,75.75,93.93,99.99,78.78,89.89,88.88,90.9,57.57,90.9,51.51,79.184
85.85,81.81,83.83,50.5,52.52,89.89,85.85,82.82,63.63,74.74,87.87,57.57,77.77,68.68,69.69,74.20133333
67.67,93.93,68.68,62.62,74.74,64.64,89.89,97.97,58.58,69.69,97.97,91.91,59.59,60.6,54.54,74.20133333
89.89,82.82,69.69,60.6,56.56,86.86,70.7,97.97,51.51,68.68,55.55,65.65,68.68,78.78,97.97,73.46066667
67.67,69.69,50.5,80.8,94.94,60.6,81.81,92.92,79.79,74.74,66.66,75.75,90.9,98.98,60.6,76.42333333
51.51,63.63,80.8,96.96,61.61,81.81,74.74,92.92,69.69,74.74,57.57,50.5,66.66,99.99,95.95,74.60533333
71.71,71.71,68.68,65.65,70.7,96.96,70.7,96.96,77.77,82.82,58.58,99.99,93.93,96.96,54.54,78.51066667
54.54,86.86,78.78,70.7,69.69,62.62,58.58,85.85,76.76,51.51,75.75,68.68,80.8,66.66,51.51,69.286
53.53,51.51,81.81,86.86,68.68,75.75,91.91,79.79,58.58,55.55,79.79,69.69,52.52,52.52,51.51,67.33333333
76.76,50.5,85.85,75.75,84.84,85.85,80.8,62.62,68.68,78.78,97.97,96.96,55.55,88.88,72.72,77.50066667
74.74,73.73,92.92,56.56,59.59,60.6,99.99,89.89,62.62,75.75,50.5,67.67,69.69,51.51,76.76,70.83466667
53.53,61.61,87.87,90.9,66.66,84.84,81.81,82.82,53.53,63.63,95.95,68.68,51.51,91.91,50.5,72.38333333
59.59,93.93,73.73,90.9,76.76,55.55,77.77,93.93,80.8,55.55,77.77,71.71,68.68,66.66,90.9,75.61533333
79.79,59.59,84.84,68.68,51.51,89.89,53.53,67.67,59.59,50.5,86.86,98.98,60.6,93.93,63.63,71.306
67.67,86.86,82.82,56.56,56.56,56.56,92.92,65.65,70.7,67.67,54.54,77.77,80.8,78.78,95.95,72.78733333
70.7,52.52,73.73,79.79,73.73,98.98,90.9,95.95,84.84,61.61,95.95,92.92,58.58,77.77,53.53,77.43333333
88.88,94.94,61.61,95.95,70.7,60.6,85.85,77.77,64.64,78.78,77.77,74.74,70.7,70.7,68.68,76.154
95.95,96.96,68.68,56.56,77.77,91.91,56.56,52.52,70.7,60.6,92.92,82.82,55.55,61.61,72.72,72.922
95.95,72.72,68.68,72.72,99.99,96.96,52.52,86.86,57.57,77.77,96.96,70.7,64.64,68.68,56.56,75.952
87.87,80.8,94.94,75.75,62.62,55.55,74.74,79.79,84.84,94.94,93.93,62.62,98.98,51.51,87.87,79.11666667
91.91,94.94,81.81,67.67,64.64,71.71,70.7,75.75,57.57,87.87,72.72,82.82,60.6,57.57,53.53,72.78733333
65.65,97.97,61.61,77.77,63.63,59.59,88.88,85.85,68.68,60.6,96.96,61.61,90.9,53.53,86.86,74.67266667
58.58,50.5,80.8,68.68,54.54,78.78,90.9,84.84,92.92,83.83,59.59,80.8,82.82,80.8,99.99,76.558
68.68,70.7,91.91,66.66,54.54,90.9,96.96,57.57,60.6,75.75,53.53,92.92,67.67,61.61,99.99,73.99933333
92.92,71.71,91.91,84.84,90.9,68.68,75.75,90.9,51.51,82.82,84.84,86.86,76.76,70.7,57.57,78.578
52.52,58.58,86.86,79.79,83.83,86.86,67.67,67.67,53.53,59.59,57.57,97.97,88.88,90.9,60.6,72.85466667
56.56,62.62,85.85,82.82,62.62,82.82,70.7,99.99,70.7,53.53,63.63,86.86,89.89,95.95,98.98,77.568
91.91,86.86,70.7,74.74,92.92,97.97,79.79,99.99,80.8,57.57,66.66,97.97,79.79,92.92,90.9,84.09933333
94.94,86.86,52.52,76.76,77.77,52.52,79.79,70.7,77.77,54.54,89.89,88.88,82.82,54.54,79.79,74.67266667
66.66,62.62,87.87,60.6,56.56,91.91,87.87,81.81,84.84,98.98,62.62,92.92,74.74,67.67,57.57,75.68266667
71.71,94.94,73.73,55.55,81.81,50.5,53.53,69.69,60.6,96.96,60.6,94.94,86.86,56.56,82.82,72.72
51.51,88.88,67.67,66.66,92.92,74.74,96.96,67.67,89.89,83.83,71.71,94.94,63.63,52.52,82.82,76.42333333
94.94,73.73,67.67,74.74,67.67,87.87,93.93,74.74,68.68,96.96,64.64,71.71,89.89,60.6,80.8,77.90466667
83.83,59.59,51.51,79.79,60.6,81.81,75.75,74.74,85.85,99.99,62.62,66.66,56.56,57.57,63.63,70.7
53.53,85.85,97.97,95.95,56.56,55.55,53.53,67.67,77.77,87.87,76.76,64.64,60.6,54.54,80.8,71.306
53.53,90.9,88.88,99.99,63.63,96.96,99.99,82.82,53.53,57.57,84.84,57.57,57.57,93.93,80.8,77.50066667
52.52,56.56,95.95,78.78,68.68,70.7,92.92,90.9,87.87,87.87,61.61,88.88,71.71,63.63,93.93,77.50066667
80.8,99.99,85.85,89.89,81.81,78.78,69.69,59.59,56.56,72.72,99.99,75.75,70.7,95.95,77.77,79.72266667
86.86,62.62,71.71,51.51,70.7,51.51,58.58,52.52,88.88,63.63,74.74,71.71,59.59,72.72,70.7,67.19866667
94.94,85.85,82.82,91.91,82.82,91.91,65.65,77.77,98.98,76.76,77.77,53.53,74.74,87.87,57.57,80.05933333
